
2024/03/09 (22:21:28) | ===> btop++ v.1.3.2
2024/03/09 (22:21:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/11 (19:58:46) | ===> btop++ v.1.3.2
2024/03/11 (19:58:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/12 (13:25:16) | ===> btop++ v.1.3.2
2024/03/12 (13:25:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/12 (13:34:12) | ===> btop++ v.1.3.2
2024/03/12 (13:34:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/12 (13:47:30) | ===> btop++ v.1.3.2
2024/03/12 (13:47:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/13 (13:39:02) | ===> btop++ v.1.3.2
2024/03/13 (13:39:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/13 (13:40:02) | ===> btop++ v.1.3.2
2024/03/13 (13:40:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/13 (13:40:53) | ===> btop++ v.1.3.2
2024/03/13 (13:40:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/13 (13:44:09) | ===> btop++ v.1.3.2
2024/03/13 (13:44:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/13 (14:06:36) | ===> btop++ v.1.3.2
2024/03/13 (14:06:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/13 (14:06:42) | ===> btop++ v.1.3.2
2024/03/13 (14:06:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/13 (14:11:49) | ===> btop++ v.1.3.2
2024/03/13 (14:11:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/13 (14:26:25) | ===> btop++ v.1.3.2
